Block 1
File name, MAC, Probvector
api-ms-win-downlevel-advapi32-l2-1-0 - Copy (4) - Copy.dll, f46a319ee10a50ca97b524d2326743f2, 0.06584875
api-ms-win-downlevel-advapi32-l2-1-0 - Copy (4).dll, 87d633a7f08f6c992aa6ed51b1d2fb36, 0.07704763
api-ms-win-downlevel-advapi32-l2-1-0 - Copy (5).dll, 1d93050dbe13913a8acdff88c1ba3ba1, 0.08558894
api-ms-win-downlevel-advapi32-l2-1-0 - Copy - Copy.dll, 74797893629ec1e60eb382a11adf74df, 0.09026565
api-ms-win-downlevel-advapi32-l2-1-0 - Copy.dll, 0798b846c524af12687f9d112a4702e6, 0.09038035
api-ms-win-downlevel-advapi32-l2-1-0.dll, b79caea9374582446c05ce15d8a4740a, 0.08591561
api-ms-win-downlevel-advapi32-l2-1-1 - Copy (2) - Copy.dll, 8a66571199e244035675aec0f3245c90, 0.07753837
api-ms-win-downlevel-advapi32-l2-1-1 - Copy (2).dll, 745348a7d0c1c13cb08b27cd1d576908, 0.06643667
api-ms-win-downlevel-advapi32-l2-1-1 - Copy (3) - Copy.dll, fd8753eb6a3ae804027d80521ee81052, 0.05404377
api-ms-win-downlevel-advapi32-l2-1-1 - Copy (3).dll, b7a869b5dbc31e240982f38c8311228e, 0.04173784
api-ms-win-downlevel-advapi32-l2-1-1 - Copy (4) - Copy.dll, 0a463fb13899d09cacdd441d369f2199, 0.03060278
api-ms-win-downlevel-advapi32-l2-1-1 - Copy (4).dll, ab01c58cba2f5b20d846d72eb3c8aa38, 0.02130288
api-ms-win-downlevel-advapi32-l2-1-1 - Copy (5).dll, 36ddb79959bfdbd2a93464b1e8c5d9e7, 0.0140787
api-ms-win-downlevel-advapi32-l2-1-1 - Copy - Copy.dll, 3c74d0166e4e73ad508aad69667bb34a, 0.008833505
api-ms-win-downlevel-advapi32-l2-1-1 - Copy.dll, bbdceb88dded8d0387ad5e3d7e2563b4, 0.005261993
api-ms-win-downlevel-advapi32-l2-1-1.dll, 527e9a31b1ce6501cadc861c5c0d5347, 0.00297587
api-ms-win-downlevel-advapi32-l3-1-0 - Copy (2) - Copy.dll, 02941dc11c78e6bf5eae254f5cd15eeb, 0.001597807
api-ms-win-downlevel-advapi32-l3-1-0 - Copy (2).dll, b4744c5d7d340ea5580bcb095205d938, 8.144816E-4
api-ms-win-downlevel-advapi32-l3-1-0 - Copy (3) - Copy.dll, 59d31cb75f23547af406a1d1e27e02c4, 3.941711E-4
api-ms-win-downlevel-advapi32-l3-1-0 - Copy (3).dll, 001ee443db0f76798bdfbff7bdd80d0a, 1.811068E-4
api-ms-win-downlevel-advapi32-l3-1-0 - Copy (4) - Copy.dll, bbda7ffe0db87af052caa67047ec6440, 7.90008E-5
api-ms-win-downlevel-advapi32-l3-1-0 - Copy (4).dll, 67b2ca247d64adef7b23ffa03915e490, 3.271709E-5
api-ms-win-downlevel-advapi32-l3-1-0 - Copy (5).dll, 4c293934961850c0caa95990694038c2, 1.286366E-5
api-ms-win-downlevel-advapi32-l3-1-0 - Copy - Copy.dll, 0d1e17ffa3b9f8427ed0b200672cc72b, 4.801764E-6
api-ms-win-downlevel-advapi32-l3-1-0 - Copy.dll, bbac44a3cd2368287c42473e1fc4aab5, 1.701703E-6
api-ms-win-downlevel-advapi32-l3-1-0.dll, 022c622a73dbd9021d219b22c738e22d, 5.725497E-7
api-ms-win-downlevel-advapi32-l4-1-0 - Copy (2) - Copy.dll, a2fd882492111d423e6090ba65487a5a, 1.828897E-7
api-ms-win-downlevel-advapi32-l4-1-0 - Copy (2).dll, 07c99029c317935f72be9ec9b0c8af9d, 5.546409E-8
api-ms-win-downlevel-advapi32-l4-1-0 - Copy (3) - Copy.dll, ea6b0804733014d467afd3517e0f3aed, 1.596913E-8
api-ms-win-downlevel-advapi32-l4-1-0 - Copy (3).dll, 670fc376be8161ccd1c772a1903c7669, 4.365127E-9
api-ms-win-downlevel-advapi32-l4-1-0 - Copy (4) - Copy.dll, 3a1792fd50c0cd3950c24df3b1f8f3ea, 1.132816E-9
api-ms-win-downlevel-advapi32-l4-1-0 - Copy (4).dll, 66794cd06bcb129a14db17cc657fdd53, 2.791054E-10
api-ms-win-downlevel-advapi32-l4-1-0 - Copy (5).dll, 35258232b8b2432db818e00ea5f3904f, 6.528655E-11
api-ms-win-downlevel-advapi32-l4-1-0 - Copy - Copy.dll, 2b6919912f1c76a157f9cd336b595065, 1.449859E-11
api-ms-win-downlevel-advapi32-l4-1-0 - Copy.dll, 70cd2b451b95a7d17a28df3b4a0656b1, 3.056852E-12
api-ms-win-downlevel-advapi32-l4-1-0.dll, 4c554f2b264dfc1214d136c121746f35, 6.118848E-13
api-ms-win-downlevel-kernel32-l1-1-0 - Copy (2) - Copy.dll, 83aaf37cb38de8ed1bafe668197c7783, 1.162817E-13
api-ms-win-downlevel-kernel32-l1-1-0 - Copy (2).dll, 44f57c2b60742aa23430c166989711bf, 2.097973E-14
api-ms-win-downlevel-kernel32-l1-1-0 - Copy (3) - Copy.dll, 8e3b549725fce5a515caf09f73f3ef9a, 3.593641E-15
api-ms-win-downlevel-kernel32-l1-1-0 - Copy (3).dll, ab553e7d2f95734939828851e2873877, 5.844081E-16
api-ms-win-downlevel-kernel32-l1-1-0 - Copy (4) - Copy.dll, 65345202c8c60ebea93529b89f89284c, 9.022862E-17
api-ms-win-downlevel-kernel32-l1-1-0 - Copy (4).dll, c93835400a4e9b68c486bae24381daf8, 1.322571E-17
api-ms-win-downlevel-kernel32-l1-1-0 - Copy (5).dll, cee790c995285a3acfef750a5c97709c, 1.840519E-18
api-ms-win-downlevel-kernel32-l1-1-0 - Copy - Copy.dll, d39a02268b19ed6ce442bccc0e902ba5, 2.431689E-19
api-ms-win-downlevel-kernel32-l1-1-0 - Copy.dll, 48f251f5ef484e89b4508804bd7f223a, 3.050158E-20
api-ms-win-downlevel-kernel32-l1-1-0.dll, b8b430f4acd6bce7d29cfb9e5a30a9fa, 3.632313E-21
api-ms-win-downlevel-kernel32-l2-1-0 - Copy (2) - Copy.dll, 9378001f0502c5627ae417d5902bf73f, 4.106679E-22
api-ms-win-downlevel-kernel32-l2-1-0 - Copy (2).dll, 3a9df163cd0bde3f36d12fbc0976d3ea, 4.408034E-23
api-ms-win-downlevel-kernel32-l2-1-0 - Copy (3) - Copy.dll, bc2d8a3e7f26e97241443814d0fe54ac, 4.49206E-24
api-ms-win-downlevel-kernel32-l2-1-0 - Copy (3).dll, 8494e0b3a5528d79ed4cf491bff12d00, 4.346031E-25
api-ms-win-downlevel-kernel32-l2-1-0 - Copy (4) - Copy.dll, d39d10b564969dba01601a70890b6d5b, 3.991964E-26
api-ms-win-downlevel-kernel32-l2-1-0 - Copy - Copy.dll, d9ec34e94573e275abfd6c5e0b938e19, 3.481184E-27
Block 1
File name, MAC, Probvector
api-ms-win-core-apiquery-l1-1-0 - Copy (10) - Copy.dll, fb40c2ee762ef4e155ccafeabc6abda4, 0.008450187
api-ms-win-core-apiquery-l1-1-0 - Copy (2) - Copy.dll, 30adf4381b5e78ea52430c32f9762203, 0.0084469117
api-ms-win-core-apiquery-l1-1-0 - Copy (2).dll, 738ebe8eecb4de587ef093a2919c06f7, 0.0084398501
api-ms-win-core-apiquery-l1-1-0 - Copy (3) - Copy - Copy.dll, 86034686a41588b617326a984e3457ec, 0.0084290115
api-ms-win-core-apiquery-l1-1-0 - Copy (3) - Copy.dll, 355c85bf6babae0dc203f4c8331a4e81, 0.0084144107
api-ms-win-core-apiquery-l1-1-0 - Copy (3).dll, f1a834a9c8dc4e0eb360364c5367fd8b, 0.0083960671
api-ms-win-core-apiquery-l1-1-0 - Copy (4) - Copy - Copy.dll, f0f59be3cdab5bf666505ebaa70c995e, 0.0083740055
api-ms-win-core-apiquery-l1-1-0 - Copy (4) - Copy.dll, 5f896bbd478bbff6d16cca8da6c8d01a, 0.0083482552
api-ms-win-core-apiquery-l1-1-0 - Copy (4).dll, 2de1399b658eae8e7aeeb997f96f4993, 0.0083188508
api-ms-win-core-apiquery-l1-1-0 - Copy (5) - Copy - Copy - Copy.dll, a1c3effed9b8d26a3ff21ceed9270316, 0.0082858314
api-ms-win-core-apiquery-l1-1-0 - Copy (5) - Copy - Copy.dll, c225b54b285fcd979755e457331543b6, 0.0082492409
api-ms-win-core-apiquery-l1-1-0 - Copy (5) - Copy.dll, 09df9a2823caf1980b27731b8bf6e9b5, 0.0082091279
api-ms-win-core-apiquery-l1-1-0 - Copy (5).dll, 86a6d4dce426d93987a13d64c0e9988d, 0.0081655455
api-ms-win-core-apiquery-l1-1-0 - Copy (6) - Copy - Copy.dll, cd4abec6e6de01dc14cc4cb1dc374243, 0.0081185509
api-ms-win-core-apiquery-l1-1-0 - Copy (6) - Copy.dll, 9776d8e4142e4aeec2268fc4581a440a, 0.008068206
api-ms-win-core-apiquery-l1-1-0 - Copy (6).dll, 7d25952587f7d1417aaa8a1fec25e80f, 0.0080145764
api-ms-win-core-apiquery-l1-1-0 - Copy (7) - Copy.dll, 65318d261b3df5ace165082db3bff76b, 0.007957732
api-ms-win-core-apiquery-l1-1-0 - Copy (7).dll, bf3fd0d0ba0adb0c0d2367f36f589ae5, 0.0078977465
api-ms-win-core-apiquery-l1-1-0 - Copy (8) - Copy.dll, a72b093468e8f1ee3329f5d4c1f99fbe, 0.007834697
api-ms-win-core-apiquery-l1-1-0 - Copy (9) - Copy.dll, b0e7286e3416df9a93b57e4c17d13bcd, 0.0077686644
api-ms-win-core-apiquery-l1-1-0 - Copy - Copy (2).dll, 9cc32871b307c4bba7022666e8d3025d, 0.0076997329
api-ms-win-core-apiquery-l1-1-0 - Copy - Copy.dll, 470baac06985078b281a7b8a4b3aa7e9, 0.0076279897
api-ms-win-core-apiquery-l1-1-0 - Copy.dll, 56fddeec60de5b50f8baaeef9e2874af, 0.0075535251
api-ms-win-core-apiquery-l1-1-0.dll, 5dc6adad4305480dbc795b5c91ebc0c2, 0.0074764321
api-ms-win-downlevel-advapi32-l1-1-0 - Copy (2) - Copy.dll, 7c574a44aa65821470b833c75de27cce, 0.0073968064
api-ms-win-downlevel-advapi32-l1-1-0 - Copy (2).dll, 3342f43aab8278e91075b63c46a17364, 0.0073147459
api-ms-win-downlevel-advapi32-l1-1-0 - Copy (3) - Copy.dll, 3ab211570ce3de5aca2aae9f0da55b38, 0.0072303511
api-ms-win-downlevel-advapi32-l1-1-0 - Copy (3).dll, f5e5d97c9c8d59d6579caff7802e45da, 0.0071437239
api-ms-win-downlevel-advapi32-l1-1-0 - Copy (4) - Copy.dll, b93fcf88e1a04733f7bff7a0d57aa7dc, 0.0070549685
api-ms-win-downlevel-advapi32-l1-1-0 - Copy (4).dll, b5df9915b4c72fca1c972591ab6ed0e4, 0.0069641904
api-ms-win-downlevel-advapi32-l1-1-0 - Copy (5).dll, 8069343c8f31124e2304de1dc346b25f, 0.0068714966
api-ms-win-downlevel-advapi32-l1-1-0 - Copy - Copy.dll, b5c8707524dae63862ca909cee780ceb, 0.0067769951
api-ms-win-downlevel-advapi32-l1-1-0 - Copy.dll, 816ca98cecf085dae375626cb4ae6259, 0.0066807951
api-ms-win-downlevel-advapi32-l1-1-0.dll, 3c9e28fcf0e17de94e18c536f659d74b, 0.0065830063
api-ms-win-downlevel-advapi32-l1-1-1 - Copy (2) - Copy.dll, 881c05e9990dde1998f14fb62f522546, 0.006483739
api-ms-win-downlevel-advapi32-l1-1-1 - Copy (2).dll, 5c343994277dc60148c79b5ad8b504bd, 0.006383104
api-ms-win-downlevel-advapi32-l1-1-1 - Copy (3) - Copy.dll, dc7eb4c0d1171ed7406bc28614bfdce7, 0.0062812121
api-ms-win-downlevel-advapi32-l1-1-1 - Copy (3).dll, 2c75a65c0d388b5d85f34ad073b09f9f, 0.006178174
api-ms-win-downlevel-advapi32-l1-1-1 - Copy (4) - Copy.dll, 90caa47706ecee371c2db6766cc46085, 0.0060741003
api-ms-win-downlevel-advapi32-l1-1-1 - Copy (4).dll, 008c472224a4061335d08658d73b479a, 0.0059691008
api-ms-win-downlevel-advapi32-l1-1-1 - Copy (5).dll, 4eb296d5b8ee2718a23b5adec9e0c327, 0.0058632851
